anime_id,title_primary,synopsis,genres,themes,demographics,studios,producers,source_material,episodes,status,aired_from,aired_to,mal_score,mal_rank,mal_popularity,members_count,retrieved_at,title_english,title_japanese,title_synonyms,title_display
38000,Kimetsu no Yaiba,"Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night.

When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity.

[Written by MAL Rewrite]",['Action' 'Award Winning' 'Supernatural'],['Historical'],['Shounen'],['ufotable'],['Aniplex' 'Studio Mausu' 'Shueisha'],Manga,26.0,Finished Airing,2019-04-06 00:00:00+00:00,2019-09-28T00:00:00+00:00,8.42,196.0,5.0,3347289.0,2025-11-14T19:24:36.012468+00:00,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,"['Blade of Demon Destruction' 'Demon Slayer'
 'Guardianes De La Noche: Kimetsu no Yaiba']",Demon Slayer: Kimetsu no Yaiba
40748,Jujutsu Kaisen,"Idly indulging in baseless paranormal activities with the Occult Club, high schooler Yuuji Itadori spends his days at either the clubroom or the hospital, where he visits his bedridden grandfather. However, this leisurely lifestyle soon takes a turn for the strange when he unknowingly encounters a cursed item. Triggering a chain of supernatural occurrences, Yuuji finds himself suddenly thrust into the world of Curses—dreadful beings formed from human malice and negativity—after swallowing the said item, revealed to be a finger belonging to the demon Sukuna Ryoumen, the King of Curses.

Yuuji experiences first-hand the threat these Curses pose to society as he discovers his own newfound powers. Introduced to the Tokyo Prefectural Jujutsu High School, he begins to walk down a path from which he cannot return—the path of a Jujutsu sorcerer.

[Written by MAL Rewrite]",['Action' 'Award Winning' 'Supernatural'],['School'],['Shounen'],['MAPPA'],"['Mainichi Broadcasting System' 'TOHO animation' 'Shueisha' 'dugout'
 'Sumzap']",Manga,24.0,Finished Airing,2020-10-03 00:00:00+00:00,2021-03-27T00:00:00+00:00,8.53,138.0,13.0,2904237.0,2025-11-14T19:27:01.528354+00:00,Jujutsu Kaisen,呪術廻戦,['Sorcery Fight' 'JJK'],Jujutsu Kaisen
37779,Yakusoku no Neverland,"Surrounded by a forest and a gated entrance, the Grace Field House is inhabited by orphans happily living together as one big family, looked after by their ""Mama,"" Isabella. Although they are required to take tests daily, the children are free to spend their time as they see fit, usually playing outside, as long as they do not venture too far from the orphanage—a rule they are expected to follow no matter what. However, all good times must come to an end, as every few months, a child is adopted and sent to live with their new family, never to be heard from again.

However, the three oldest siblings have their suspicions about what is actually happening at the orphanage, and they are about to discover the cruel fate that awaits the children living at Grace Field, including the twisted nature of their beloved Mama.

[Written by MAL Rewrite]",['Mystery' 'Suspense'],['Psychological' 'Survival'],['Shounen'],['CloverWorks'],['Aniplex' 'Dentsu' 'Fuji TV' 'Shueisha' 'CA-Cygames Anime Fund'],Manga,12.0,Finished Airing,2019-01-11 00:00:00+00:00,2019-03-29T00:00:00+00:00,8.47,167.0,37.0,2110471.0,2025-11-14T19:24:25.851795+00:00,The Promised Neverland,約束のネバーランド,[],The Promised Neverland
38691,Dr. Stone,"After five years of harboring unspoken feelings, high-schooler Taiju Ooki is finally ready to confess his love to Yuzuriha Ogawa. Just when Taiju begins his confession however, a blinding green light strikes the Earth and petrifies mankind around the world—turning every single human into stone.

Several millennia later, Taiju awakens to find the modern world completely nonexistent, as nature has flourished in the years humanity stood still. Among a stone world of statues, Taiju encounters one other living human: his science-loving friend Senkuu, who has been active for a few months. Taiju learns that Senkuu has developed a grand scheme—to launch the complete revival of civilization with science. Taiju's brawn and Senkuu's brains combine to forge a formidable partnership, and they soon uncover a method to revive those petrified.

However, Senkuu's master plan is threatened when his ideologies are challenged by those who awaken. All the while, the reason for mankind's petrification remains unknown.

[Written by MAL Rewrite]",['Adventure' 'Comedy' 'Sci-Fi'],[],['Shounen'],['TMS Entertainment'],['TOHO animation' 'Shueisha' '8PAN'],Manga,24.0,Finished Airing,2019-07-05 00:00:00+00:00,2019-12-13T00:00:00+00:00,8.26,337.0,49.0,1904794.0,2025-11-14T19:25:09.773595+00:00,Dr. Stone,ドクターストーン,[],Dr. Stone
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"At the renowned Shuchiin Academy, Miyuki Shirogane and Kaguya Shinomiya are the student body's top representatives. Ranked the top student in the nation and respected by peers and mentors alike, Miyuki serves as the student council president. Alongside him, the vice president Kaguya—eldest daughter of the wealthy Shinomiya family—excels in every field imaginable. They are the envy of the entire student body, regarded as the perfect couple.

However, despite both having already developed feelings for the other, neither are willing to admit them. The first to confess loses, will be looked down upon, and will be considered the lesser. With their honor and pride at stake, Miyuki and Kaguya are both equally determined to be the one to emerge victorious on the battlefield of love!

[Written by MAL Rewrite]",['Comedy' 'Romance'],['School'],['Seinen'],['A-1 Pictures'],"['Aniplex' 'Mainichi Broadcasting System' 'Magic Capsule' 'Shueisha'
 'JR East Marketing & Communications']",Manga,12.0,Finished Airing,2019-01-12 00:00:00+00:00,2019-03-30T00:00:00+00:00,8.4,213.0,50.0,1887685.0,2025-11-14T19:24:34.972579+00:00,Kaguya-sama: Love is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,"[""Kaguya Wants to be Confessed To: The Geniuses' War of Love and Brains""
 'Kauya-sama: Love Is War']",Kaguya-sama: Love is War
38408,Boku no Hero Academia 4th Season,"After successfully passing his Provisional Hero License exam, Izuku ""Deku"" Midoriya seeks out an extracurricular internship with a professional hero agency. At the recommendation of his mentor All Might, Midoriya lands a position under All Might's former sidekick, Sir Nighteye, now a famous hero in his own right.

As Midoriya's classmates further their own abilities through various internships, up-and-coming villain Kai Chisaki utilizes his terrifying powers to gather favor in the criminal underworld. Known by the moniker Overhaul, Chisaki's ambitions collide with the League of Villains and its leader, Tomura Shigaraki.

Through his work with Sir Nighteye, Midoriya discovers Chisaki's crime syndicate and the villain's hostile relationship with a mysterious young girl named Eri. Fearing for the child's safety, Midoriya and his upperclassman Mirio Toogata must work together to put an end to Chisaki's reign of terror.

[Written by MAL Rewrite]",['Action'],['School' 'Super Power'],['Shounen'],['Bones'],"['Dentsu' 'Yomiuri Telecasting' 'Movic' 'Sony Music Entertainment'
 'TOHO animation' 'Shueisha']",Manga,25.0,Finished Airing,2019-10-12 00:00:00+00:00,2020-04-04T00:00:00+00:00,7.86,947.0,53.0,1858812.0,2025-11-14T19:24:50.960433+00:00,My Hero Academia Season 4,僕のヒーローアカデミア,"['My Hero Academia Staffel 4' 'My Hero Academia Temporada 4'
 'My Hero Academia Saison 4']",My Hero Academia Season 4
44511,Chainsaw Man,"Denji is robbed of a normal teenage life, left with nothing but his deadbeat father's overwhelming debt. His only companion is his pet, the chainsaw devil Pochita, with whom he slays devils for money that inevitably ends up in the yakuza's pockets. All Denji can do is dream of a good, simple life: one with delicious food and a beautiful girlfriend by his side. But an act of greedy betrayal by the yakuza leads to Denji's brutal, untimely death, crushing all hope of him ever achieving happiness.

Remarkably, an old contract allows Pochita to merge with the deceased Denji and bestow devil powers on him, changing him into a hybrid able to transform his body parts into chainsaws. Because Denji's new abilities pose a significant risk to society, the Public Safety Bureau's elite devil hunter Makima takes him in, letting him live as long as he obeys her command. Guided by the promise of a content life alongside an attractive woman, Denji devotes everything and fights with all his might to make his naive dreams a reality.

[Written by MAL Rewrite]",['Action' 'Fantasy'],['Gore' 'Urban Fantasy'],['Shounen'],['MAPPA'],['dugout'],Manga,12.0,Finished Airing,2022-10-12 00:00:00+00:00,2022-12-28T00:00:00+00:00,8.44,185.0,54.0,1846565.0,2025-11-14T19:28:39.304804+00:00,Chainsaw Man,チェンソーマン,['CSM'],Chainsaw Man
50265,Spy x Family,"Corrupt politicians, frenzied nationalists, and other warmongering forces constantly jeopardize the thin veneer of peace between neighboring countries Ostania and Westalis. In spite of their plots, renowned spy and master of disguise ""Twilight"" fulfills dangerous missions one after another in the hope that no child will have to experience the horrors of war.

In the bustling Ostanian city of Berlint, Twilight dons the alias of ""Loid Forger,"" an esteemed psychiatrist. However, his true intention is to gather intelligence on prominent politician Donovan Desmond, who only appears rarely in public at his sons' school: the prestigious Eden Academy. Enlisting the help of unmarried city hall clerk Yor Briar to act as his wife and adopting the curious six-year-old orphan Anya as his daughter, Loid enacts his master plan. He will enroll Anya in Eden Academy, where Loid hopes she will excel and give him the opportunity to meet Donovan without arousing suspicion. 

Unfortunately for Loid, even a man of his talents has trouble playing the figure of a loving father and husband. And just like Loid is hiding his true identity, Yor—who is an underground assassin known as ""Thorn Princess""—and Anya—an esper who can read people's minds—have no plans to disclose their own secrets either. Although this picture-perfect family is founded on deception, the Forgers gradually come to understand that the love they share for one another trumps all else.

[Written by MAL Rewrite]",['Action' 'Award Winning' 'Comedy'],['Childcare' 'Super Power'],['Shounen'],['Wit Studio' 'CloverWorks'],['TV Tokyo' 'Shogakukan-Shueisha Productions' 'TOHO animation' 'Shueisha'],Manga,12.0,Finished Airing,2022-04-09 00:00:00+00:00,2022-06-25T00:00:00+00:00,8.44,188.0,59.0,1812482.0,2025-11-14T19:30:04.005075+00:00,,SPY×FAMILY,[],Spy x Family
35790,Tate no Yuusha no Nariagari,"The Four Cardinal Heroes are a group of ordinary men from modern-day Japan summoned to the kingdom of Melromarc to become its saviors. Melromarc is a country plagued by the Waves of Catastrophe that have repeatedly ravaged the land and brought disaster to its citizens for centuries. The four heroes are respectively bestowed a sword, spear, bow, and shield to vanquish these Waves. Naofumi Iwatani, an otaku, becomes cursed with the fate of being the ""Shield Hero."" Armed with only a measly shield, Naofumi is belittled and ridiculed by his fellow heroes and the kingdom's people due to his weak offensive capabilities and lackluster personality.

When the heroes are provided with resources and comrades to train with, Naofumi sets out with the only person willing to train alongside him, Malty Melromarc. He is soon betrayed by her, however, and becomes falsely accused of taking advantage of her. Naofumi then becomes heavily discriminated against and hated by the people of Melromarc for something he didn't do. With a raging storm of hurt and mistrust in his heart, Naofumi begins his journey of strengthening himself and his reputation. Further along however, the difficulty of being on his own sets in, so Naofumi buys a demi-human slave on the verge of death named Raphtalia to accompany him on his travels.

As the Waves approach the kingdom, Naofumi and Raphtalia must fight for the survival of the kingdom and protect the people of Melromarc from their ill-fated future.

[Written by MAL Rewrite]",['Action' 'Adventure' 'Drama' 'Fantasy'],['Isekai'],[],['Kinema Citrus'],"['Frontier Works' 'AT-X' 'Nippon Columbia' 'Glovision'
 'Good Smile Company' 'Sammy' 'Crunchyroll' 'Kadokawa Media House'
 'NTT Plala' 'Kadokawa']",Light novel,25.0,Finished Airing,2019-01-09 00:00:00+00:00,2019-06-26T00:00:00+00:00,7.91,838.0,67.0,1727528.0,2025-11-14T19:24:01.442237+00:00,The Rising of the Shield Hero,盾の勇者の成り上がり,[],The Rising of the Shield Hero
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"After a string of mysterious disappearances begin to plague a train, the Demon Slayer Corps' multiple attempts to remedy the problem prove fruitless. To prevent further casualties, the Flame Pillar, Kyoujurou Rengoku, takes it upon himself to eliminate the threat. Accompanying him are some of the Corps' most promising new blood: Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira, who all hope to witness the fiery feats of this model demon slayer firsthand.

Unbeknownst to them, the demonic forces responsible for the disappearances have already put their sinister plan in motion. Under this demonic presence, the group must muster every ounce of their willpower and draw their swords to save all two hundred passengers onboard. As things begin to spiral out of control, Tanjirou's resolve and commitment to duty are put to the test.

[Written by MAL Rewrite]",['Action' 'Supernatural'],['Historical'],['Shounen'],['ufotable'],['Aniplex' 'Shueisha'],Manga,1.0,Finished Airing,2020-10-16 00:00:00+00:00,,8.55,130.0,70.0,1722165.0,2025-11-14T19:26:38.253310+00:00,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,劇場版 鬼滅の刃 無限列車編,"['Gekijouban Kimetsu no Yaiba: Mugen Ressha-hen'
 'Kimetsu no Yaiba: Infinity Train' 'Demon Slayer Movie: Infinity Train'
 'Guardianes De La Noche - Kimetsu No Yaiba - Tren Infinito'
 ""Demon Slayer - Kimetsu no Yaiba - Le film : Le train de l'Infini""]",Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train
