anime_id,title_primary,synopsis,genres,themes,demographics,studios,producers,source_material,episodes,status,aired_from,aired_to,mal_score,mal_rank,mal_popularity,members_count,retrieved_at,title_english,title_japanese,title_synonyms,title_display
35760,Shingeki no Kyojin Season 3,"Still threatened by the ""Titans"" that rob them of their freedom, mankind remains caged inside the two remaining walls. Efforts to eradicate these monsters continue; however, threats arise not only from the Titans beyond the walls, but from the humans within them as well.

After being rescued from the Colossal and Armored Titans, Eren Yaeger devotes himself to improving his Titan form. Krista Lenz struggles to accept the loss of her friend, Captain Levi chooses Eren and his friends to form his new personal squad, and Commander Erwin Smith recovers from his injuries. All seems well for the soldiers, until the government suddenly demands custody of Eren and Krista. The Survey Corps' recent successes have drawn attention, and a familiar face from Levi's past is sent to collect the wanted soldiers. Sought after by the government, Levi and his new squad must evade their adversaries in hopes of keeping Eren and Krista safe.

Eren and his fellow soldiers are not only fighting for their survival against the terrifying Titans, but also against the terror of a far more conniving foe: their fellow humans.

[Written by MAL Rewrite]",['Action' 'Drama' 'Suspense'],['Gore' 'Military' 'Survival'],['Shounen'],['Wit Studio'],"['Production I.G' 'Dentsu' 'Mainichi Broadcasting System' 'Pony Canyon'
 'Kodansha' 'Techno Sound' 'Pony Canyon Enterprises']",Manga,12.0,Finished Airing,2018-07-23 00:00:00+00:00,2018-10-15T00:00:00+00:00,8.64,86.0,18.0,2589921.0,2025-11-14T18:53:42.849161+00:00,Attack on Titan Season 3,進撃の巨人 Season3,"['Attack on Titan 3. Staffel' 'Ataque a los Titanes Temporada 3'
 ""L'Attaque des Titans Saison 3""]",Attack on Titan Season 3
38524,Shingeki no Kyojin Season 3 Part 2,"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.

Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. 

Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.

[Written by MAL Rewrite]",['Action' 'Drama' 'Suspense'],['Gore' 'Military' 'Survival'],['Shounen'],['Wit Studio'],"['Production I.G' 'Dentsu' 'Mainichi Broadcasting System' 'Pony Canyon'
 'Kodansha' 'Techno Sound' 'Pony Canyon Enterprises']",Manga,10.0,Finished Airing,2019-04-29 00:00:00+00:00,2019-07-01T00:00:00+00:00,9.05,5.0,21.0,2512862.0,2025-11-14T18:53:43.111416+00:00,Attack on Titan Season 3 Part 2,進撃の巨人 Season3 Part.2,"['Attack on Titan Staffel 3 Teil 2'
 'Ataque a los Titanes Temporada 3 Parte 2'
 ""L'Attaque des Titans Saison 3 Partie 2""]",Attack on Titan Season 3 Part 2
40028,Shingeki no Kyojin: The Final Season,"Gabi Braun and Falco Grice have been training their entire lives to inherit one of the seven Titans under Marley's control and aid their nation in eradicating the Eldians on Paradis. However, just as all seems well for the two cadets, their peace is suddenly shaken by the arrival of Eren Yeager and the remaining members of the Survey Corps.

Having finally reached the Yeager family basement and learned about the dark history surrounding the Titans, the Survey Corps has at long last found the answer they so desperately fought to uncover. With the truth now in their hands, the group set out for the world beyond the walls.

In Shingeki no Kyojin: The Final Season, two utterly different worlds collide as each party pursues its own agenda in the long-awaited conclusion to Paradis' fight for freedom.

[Written by MAL Rewrite]",['Action' 'Drama' 'Suspense'],['Gore' 'Military' 'Survival'],['Shounen'],['MAPPA'],"['Production I.G' 'Dentsu' 'Mainichi Broadcasting System' 'Pony Canyon'
 'Kodansha' 'Techno Sound' 'Pony Canyon Enterprises']",Manga,16.0,Finished Airing,2020-12-07 00:00:00+00:00,2021-03-29T00:00:00+00:00,8.78,39.0,31.0,2216870.0,2025-11-14T18:53:43.185896+00:00,Attack on Titan: Final Season,進撃の巨人 The Final Season,"['Shingeki no Kyojin Season 4' 'Attack on Titan Season 4'
 'Attack on Titan Final Season' 'Ataque a los Titanes Temporada Final'
 ""L'Attaque des Titans Saison Finale""]",Attack on Titan: Final Season
37521,Vinland Saga,"Young Thorfinn grew up listening to the stories of old sailors that had traveled the ocean and reached the place of legend, Vinland. It's said to be warm and fertile, a place where there would be no need for fighting—not at all like the frozen village in Iceland where he was born, and certainly not like his current life as a mercenary. War is his home now. Though his father once told him, ""You have no enemies, nobody does. There is nobody who it's okay to hurt,"" as he grew, Thorfinn knew that nothing was further from the truth.

The war between England and the Danes grows worse with each passing year. Death has become commonplace, and the viking mercenaries are loving every moment of it. Allying with either side will cause a massive swing in the balance of power, and the vikings are happy to make names for themselves and take any spoils they earn along the way. Among the chaos, Thorfinn must take his revenge and kill Askeladd, the man who murdered his father. The only paradise for the vikings, it seems, is the era of war and death that rages on.

[Written by MAL Rewrite]",['Action' 'Adventure' 'Drama'],['Gore' 'Historical'],['Seinen'],['Wit Studio'],['Production I.G' 'Dentsu' 'Kodansha' 'Twin Engine'],Manga,24.0,Finished Airing,2019-07-08 00:00:00+00:00,2019-12-30T00:00:00+00:00,8.77,44.0,63.0,1742882.0,2025-11-14T18:53:43.023090+00:00,,ヴィンランド・サガ,[],Vinland Saga
37510,Mob Psycho 100 II,"Shigeo ""Mob"" Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue to deal with supernatural requests from clients, whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens.

While the workflow remains the same, Mob isn't just blindly following Reigen around anymore. With all his experiences as a ridiculously strong psychic, Mob's supernatural adventures now have more weight to them. Things take on a serious and darker tone as the dangers Mob and Reigen face are much more tangible and unsettling than ever before.

[Written by MAL Rewrite]",['Action' 'Comedy' 'Supernatural'],[],[],['Bones'],"['Warner Bros. Japan' 'KlockWorx' 'BS Fuji' 'Hakuhodo DY Music & Pictures'
 'Shogakukan']",Web manga,13.0,Finished Airing,2019-01-07 00:00:00+00:00,2019-04-01T00:00:00+00:00,8.78,41.0,73.0,1680612.0,2025-11-14T18:53:42.972882+00:00,Mob Psycho 100 II,モブサイコ100 II,['Mob Psycho 100 2nd Season' 'Mob Psycho Hyaku' 'Mob Psycho One Hundred'],Mob Psycho 100 II
47778,Kimetsu no Yaiba: Yuukaku-hen,"The devastation of the Mugen Train incident still weighs heavily on the members of the Demon Slayer Corps. Despite being given time to recover, life must go on, as the wicked never sleep: a vicious demon is terrorizing the alluring women of the Yoshiwara Entertainment District. The Sound Hashira, Tengen Uzui, and his three wives are on the case. However, when he soon loses contact with his spouses, Tengen fears the worst and enlists the help of Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira to infiltrate the district's most prominent houses and locate the depraved Upper Rank Demon.

[Written by MAL Rewrite]",['Action' 'Supernatural'],['Historical'],['Shounen'],['ufotable'],['Aniplex' 'Studio Mausu' 'Shueisha'],Manga,11.0,Finished Airing,2021-12-05 00:00:00+00:00,2022-02-13T00:00:00+00:00,8.71,63.0,74.0,1671535.0,2025-11-14T18:53:44.183157+00:00,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,鬼滅の刃 遊郭編,[],Demon Slayer: Kimetsu no Yaiba Entertainment District Arc
34599,Made in Abyss,"The Abyss—a gaping chasm stretching down into the depths of the earth, filled with mysterious creatures and relics from a time long past. How did it come to be? What lies at the bottom? Countless brave individuals, known as Divers, have sought to solve these mysteries of the Abyss, fearlessly descending into its darkest realms. The best and bravest of the Divers, the White Whistles, are hailed as legends by those who remain on the surface.

Riko, daughter of the missing White Whistle Lyza the Annihilator, aspires to become like her mother and explore the furthest reaches of the Abyss. However, just a novice Red Whistle herself, she is only permitted to roam its most upper layer. Even so, Riko has a chance encounter with a mysterious robot with the appearance of an ordinary young boy. She comes to name him Reg, and he has no recollection of the events preceding his discovery. Certain that the technology to create Reg must come from deep within the Abyss, the two decide to venture forth into the chasm to recover his memories and see the bottom of the great pit with their own eyes. However, they know not of the harsh reality that is the true existence of the Abyss.

[Written by MAL Rewrite]",['Adventure' 'Drama' 'Fantasy' 'Mystery' 'Sci-Fi'],['Gore'],[],['Kinema Citrus'],"['AT-X' 'Takeshobo' 'Sony Music Communications' 'Kadokawa Media House'
 'Cygames' 'Kanetsu Investment' 'Kadokawa' 'Global Solutions'
 'IRMA LA DOUCE']",Web manga,13.0,Finished Airing,2017-07-07 00:00:00+00:00,2017-09-29T00:00:00+00:00,8.63,90.0,91.0,1512542.0,2025-11-14T18:53:42.734386+00:00,Made in Abyss,メイドインアビス,[],Made in Abyss
48583,Shingeki no Kyojin: The Final Season Part 2,"Turning against his former allies and enemies alike, Eren Yeager sets a disastrous plan in motion. Under the guidance of the Beast Titan, Zeke, Eren takes extreme measures to end the ancient conflict between Marley and Eldia—but his true intentions remain a mystery. Delving deep into his family's past, Eren fights to control his own destiny.

Meanwhile, the long-feuding nations of Marley and Eldia utilize both soldiers and Titans in a brutal race to eliminate the other. Reiner Braun uses his own powers in a desperate bid to hold off Eren's own militaristic force, and his fellow Eldians—children Falco Grice and Gabi Braun—struggle to survive in the unfolding chaos.

Elsewhere, Eren's childhood friends Mikasa Ackerman and Armin Arlert remain imprisoned alongside Eren's former Survey Corps companions, all disturbed by Eren's monstrous transformation. Under the blind belief that Eren still secretly harbors good intentions, Mikasa and the others enter the fray in an attempt to save their friend's very soul.

[Written by MAL Rewrite]",['Action' 'Drama' 'Suspense'],['Gore' 'Military' 'Survival'],['Shounen'],['MAPPA'],"['Production I.G' 'Dentsu' 'Mainichi Broadcasting System' 'Pony Canyon'
 'Kodansha' 'Pony Canyon Enterprises']",Manga,12.0,Finished Airing,2022-01-10 00:00:00+00:00,2022-04-04T00:00:00+00:00,8.77,43.0,93.0,1494751.0,2025-11-14T18:53:44.302325+00:00,Attack on Titan: Final Season Part 2,進撃の巨人 The Final Season Part 2,['Shingeki no Kyojin Season 4' 'Attack on Titan Season 4'],Attack on Titan: Final Season Part 2
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"After a slow but eventful summer vacation, Shuchiin Academy's second term is now starting in full force. As August transitions into September, Miyuki Shirogane's birthday looms ever closer, leaving Kaguya Shinomiya in a serious predicament as to how to celebrate it. Furthermore, the tenure of the school's 67th student council is coming to an end. Due to the council members being in different classes, the only time Kaguya and Miyuki have to be together will soon disappear, putting all of their cunning plans at risk.

A long and difficult election that will decide the fate of the new student council awaits, as multiple challengers fight for the coveted title of president.

[Written by MAL Rewrite]",['Comedy' 'Romance'],['School'],['Seinen'],['A-1 Pictures'],"['Aniplex' 'Mainichi Broadcasting System' 'Shueisha'
 'JR East Marketing & Communications']",Manga,12.0,Finished Airing,2020-04-11 00:00:00+00:00,2020-06-27T00:00:00+00:00,8.62,94.0,98.0,1460703.0,2025-11-14T18:53:43.319019+00:00,Kaguya-sama: Love is War?,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,"[""Kaguya Wants to be Confessed To: The Geniuses' War of Love and Brains 2nd Season""
 'Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 2nd Season'
 'Kaguya-sama: Love is War 2nd Season'
 'Kaguya-sama: Love Is War Staffel 2'
 'Kaguya-sama: Love Is War? Temporada 2'
 'Kaguya-sama: Love is War Saison 2']",Kaguya-sama: Love is War?
51009,Jujutsu Kaisen 2nd Season,"The year is 2006, and the halls of Tokyo Prefectural Jujutsu High School echo with the endless bickering and intense debate between two inseparable best friends. Exuding unshakeable confidence, Satoru Gojou and Suguru Getou believe there is no challenge too great for young and powerful Special Grade sorcerers such as themselves. They are tasked with safely delivering a sensible girl named Riko Amanai to the entity whose existence is the very essence of the jujutsu world. However, the mission plunges them into an exhausting swirl of moral conflict that threatens to destroy the already feeble amity between sorcerers and ordinary humans.

Twelve years later, students and sorcerers are the frontline defense against the rising number of high-level curses born from humans' negative emotions. As the entities grow in power, their self-awareness and ambition increase too. The curses unite for the common goal of eradicating humans and creating a world of only cursed energy users, led by a dangerous, ancient cursed spirit. To dispose of their greatest obstacle—the strongest sorcerer, Gojou—they orchestrate an attack at Shibuya Station on Halloween. Dividing into teams, the sorcerers enter the fight prepared to risk everything to protect the innocent and their own kind.

[Written by MAL Rewrite]",['Action' 'Supernatural'],['Gore' 'School'],['Shounen'],['MAPPA'],"['Mainichi Broadcasting System' 'TOHO animation' 'Shueisha' 'dugout'
 'Sumzap']",Manga,23.0,Finished Airing,2023-07-06 00:00:00+00:00,2023-12-28T00:00:00+00:00,8.72,52.0,118.0,1277280.0,2025-11-14T18:53:45.666692+00:00,Jujutsu Kaisen Season 2,呪術廻戦 懐玉・玉折／渋谷事変,"['Jujutsu Kaisen: Kaigyoku Gyokusetsu' 'Jujutsu Kaisen: Shibuya Jihen'
 'Jujutsu Kaisen: Hidden Inventory Arc'
 'Jujutsu Kaisen: Shibuya Incident Arc' 'Sorcery Fight' 'JJK']",Jujutsu Kaisen Season 2
