number,value,datetime_start,datetime_complete,duration,params_w_knn,params_w_mf,params_w_pop,user_attrs_weights_normalized,state
0,0.039179958978887985,2025-11-17 17:42:54.204033,2025-11-17 17:43:11.003390,0 days 00:00:16.799357,0.23942066037178,0.6298960446611261,0.1597998899321751,"{'w_mf': 0.612074518808531, 'w_knn': 0.23264677835644437, 'w_pop': 0.15527870283502446}",COMPLETE
1,0.041703990420831984,2025-11-17 17:43:11.003390,2025-11-17 17:43:29.857935,0 days 00:00:18.854545,0.2700627799979597,0.6288896860296839,0.8203987940316575,"{'w_mf': 0.2732020399570613, 'w_knn': 0.11732057950849445, 'w_pop': 0.3}",COMPLETE
2,0.040030080251648566,2025-11-17 17:43:29.858936,2025-11-17 17:43:49.045979,0 days 00:00:19.187043,0.8771189485118928,0.0875027635104978,0.30865767703525504,"{'w_mf': 0.06872235917936173, 'w_knn': 0.6888660541038434, 'w_pop': 0.24241158671679483}",COMPLETE
3,0.0422477422512096,2025-11-17 17:43:49.045979,2025-11-17 17:44:07.624032,0 days 00:00:18.578053,0.10533431775740443,0.20891909988976987,0.6900278929033075,"{'w_mf': 0.09299280638547308, 'w_knn': 0.046885774551625174, 'w_pop': 0.3}",COMPLETE
4,0.0392391935780763,2025-11-17 17:44:07.624032,2025-11-17 17:44:26.748484,0 days 00:00:19.124452,0.6198289696296932,0.8050286472138322,0.37457110141843797,"{'w_mf': 0.44738012628329904, 'w_knn': 0.34445875145772664, 'w_pop': 0.2081611222589743}",COMPLETE
5,0.042233307370087854,2025-11-17 17:44:26.748484,2025-11-17 17:44:46.399337,0 days 00:00:19.650853,0.1364762314771396,0.1536811486259787,0.5150828803488464,"{'w_mf': 0.09824381480495396, 'w_knn': 0.08724521992706927, 'w_pop': 0.3}",COMPLETE
6,0.04089371188911802,2025-11-17 17:44:46.399337,2025-11-17 17:45:04.990660,0 days 00:00:18.591323,0.6009555869140283,0.4661999464592679,0.7068340841841294,"{'w_mf': 0.22583942135639382, 'w_knn': 0.2911185705625431, 'w_pop': 0.3}",COMPLETE
7,0.04022612385638343,2025-11-17 17:45:04.990660,2025-11-17 17:45:23.175520,0 days 00:00:18.184860,0.9239380263272552,0.9480836229816885,0.5388703334978544,"{'w_mf': 0.39325014548263365, 'w_knn': 0.383234932513066, 'w_pop': 0.22351492200430031}",COMPLETE
8,0.03686374375853185,2025-11-17 17:45:23.176588,2025-11-17 17:45:41.411709,0 days 00:00:18.235121,0.5532623733706162,0.9725819734677716,0.22879030790361599,"{'w_mf': 0.5542931520469582, 'w_knn': 0.3153148559304878, 'w_pop': 0.1303919920225539}",COMPLETE
9,0.04075345499207953,2025-11-17 17:45:41.411709,2025-11-17 17:45:59.839611,0 days 00:00:18.427902,0.4868287498931545,0.2475004854103765,0.5258985836990794,"{'w_mf': 0.16348228878901236, 'w_knn': 0.32156655429933073, 'w_pop': 0.3}",COMPLETE
