number,value,datetime_start,datetime_complete,duration,params_lr,params_n_epochs,params_n_factors,params_reg,state
0,0.030963563740469116,2025-11-15 17:49:02.368256,2025-11-15 18:01:07.709875,0 days 00:12:05.341619,0.0005304001145373074,4,155,0.00020416732991030643,COMPLETE
1,0.013829041047924857,2025-11-15 18:01:07.730149,2025-11-15 18:56:32.084858,0 days 00:55:24.354709,0.021760487594860406,13,198,0.008538246243274166,COMPLETE
2,0.011872021038816169,2025-11-15 18:56:32.099862,2025-11-15 19:24:22.379462,0 days 00:27:50.279600,0.0014024579901648906,6,219,0.08014062986989862,COMPLETE
3,0.025384207799763234,2025-11-15 19:24:22.390415,2025-11-15 19:41:21.369843,0 days 00:16:58.979428,0.0005245697660513173,4,95,0.059734171361640095,COMPLETE
4,0.03015188123873859,2025-11-15 19:41:21.374677,2025-11-15 19:59:13.081158,0 days 00:17:51.706481,0.0007325108092874328,5,18,0.0031794600847333916,COMPLETE
5,0.023592906551369863,2025-11-15 19:59:13.087963,2025-11-15 21:12:03.032169,0 days 01:12:49.944206,0.00022420944070320142,18,206,0.011989806086164677,COMPLETE
6,0.013829041047924857,2025-11-15 21:12:03.035170,2025-11-15 22:08:59.397077,0 days 00:56:56.361907,0.005507925827025008,14,174,0.00011713458449813526,COMPLETE
7,0.027912886223250652,2025-11-15 22:08:59.405567,2025-11-15 22:34:40.104500,0 days 00:25:40.698933,0.00029376260015007486,6,255,0.004467680148077245,COMPLETE
8,0.029411243991734903,2025-11-15 22:34:40.108196,2025-11-16 00:17:08.535692,0 days 01:42:28.427496,0.00032763921380958057,12,74,0.00017908234799781072,COMPLETE
9,0.013829041047924857,2025-11-16 00:17:08.544176,2025-11-16 00:44:01.980812,0 days 00:26:53.436636,0.014950962501879281,6,132,0.0036574480180770422,COMPLETE
10,0.013829041047924857,2025-11-16 00:44:01.989408,2025-11-16 01:23:25.760258,0 days 00:39:23.770850,0.0035945450295607135,10,140,0.0005728858053199814,COMPLETE
11,0.01948884607424844,2025-11-16 01:23:25.766560,2025-11-16 02:01:24.518048,0 days 00:37:58.751488,0.001087436810105358,9,19,0.0009621134829729068,COMPLETE
12,0.0016666666666666668,2025-11-16 02:01:24.522463,2025-11-16 02:13:37.786257,0 days 00:12:13.263794,0.00010009552160049471,4,19,0.0009167570942475524,COMPLETE
13,0.01953396114672065,2025-11-16 02:13:37.788252,2025-11-16 02:37:26.644443,0 days 00:23:48.856191,0.0008780538486391252,7,76,0.000350564930103998,COMPLETE
14,0.02310020003471196,2025-11-16 02:37:26.647966,2025-11-16 04:20:18.328457,0 days 01:42:51.680491,0.002513885148811574,20,140,0.0017425117937217617,COMPLETE
15,0.027184846788548066,2025-11-16 04:20:18.336045,2025-11-16 05:52:53.558733,0 days 01:32:35.222688,0.006491762537602644,9,52,0.02302629592507183,COMPLETE
16,0.02116726672989228,2025-11-16 05:52:53.565231,2025-11-16 06:49:40.757580,0 days 00:56:47.192349,0.00011790121804375676,16,118,0.0022729206985318377,COMPLETE
17,0.031063654560634202,2025-11-16 06:49:40.761490,2025-11-16 07:05:06.741993,0 days 00:15:25.980503,0.0006366128735827576,4,159,0.0002806265068327296,COMPLETE
18,0.025368672630955418,2025-11-16 07:05:06.744035,2025-11-16 07:35:55.778361,0 days 00:30:49.034326,0.0016530607180733734,8,168,0.00028781158242541845,COMPLETE
19,0.028720121163215234,2025-11-16 07:35:55.779359,2025-11-16 08:16:11.871327,0 days 00:40:16.091968,0.00018272230288813026,11,168,0.00010125295829954528,COMPLETE
